state,region,investigation_all,maltreatment_all,pop_children
Alabama,West,0.32,0.12,1089840
Alaska,South,0.41,0.15,183816
Arizona,South,0.4,0.09,1642657
Arkansas,West,0.64,0.17,703180
California,West,0.31,0.1,8989955
Colorado,West,0.28,0.1,1265235
Connecticut,Northeast,0.26,0.12,735193
Delaware,South,0.43,0.09,203616
District of Columbia,South,0.58,0.13,127494
Florida,South,0.45,0.07,4229081
Georgia,South,,0.09,2505751
Hawaii,West,0.14,0.06,303414
Idaho,Midwest,0.24,0.06,446972
Illinois,West,0.44,0.12,2857266
Indiana,Midwest,0.6,0.19,1568130
Iowa,Midwest,0.34,0.14,730767
Kansas,Midwest,0.3,0.06,705961
Kentucky,South,0.54,0.21,1008829
Louisiana,South,0.27,0.12,1095916
Maine,Northeast,0.34,0.15,250404
Maryland,South,0.28,0.07,1340148
Massachusetts,Northeast,0.36,0.19,1366858
Michigan,Midwest,0.42,0.16,2164668
Minnesota,Midwest,0.25,0.07,1302615
Mississippi,Midwest,0.4,0.17,706141
Missouri,South,0.37,0.05,1376830
Montana,West,0.39,0.15,229434
Nebraska,South,0.33,0.08,476841
Nevada,Midwest,0.35,0.07,688997
New Hampshire,Midwest,0.36,0.05,258170
New Jersey,Northeast,0.32,0.05,1953643
New Mexico,Northeast,0.42,0.18,482153
New York,West,0.35,0.15,4068102
North Carolina,West,0.37,0.04,2300645
North Dakota,Northeast,0.33,0.12,178698
Ohio,Midwest,0.3,0.11,2593325
Oklahoma,South,0.43,0.18,956486
Oregon,West,0.42,0.14,873567
Pennsylvania,Northeast,0.22,0.02,2648911
Rhode Island,Northeast,0.34,0.17,205213
South Carolina,South,0.44,0.18,1105945
South Dakota,Midwest,0.17,0.07,217606
Tennessee,South,0.49,0.07,1506220
Texas,South,0.34,0.11,7398099
Utah,West,0.25,0.11,932462
Vermont,South,0.36,0.1,115973
Virginia,Northeast,0.36,0.05,1869792
Washington,West,0.23,0.02,1663285
West Virginia,Midwest,,,364160
Wisconsin,South,0.24,0.05,1276103
Wyoming,West,0.31,0.09,134775